id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label,difficulty,points
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ phiên bản trước như sau: Thời gian xử lý và khắc phục (resolution) đã giảm từ 6 giờ xuống còn 4 giờ. Đây là cập nhật trong phiên bản v2026.1 có hiệu lực từ ngày 15 tháng 1 năm 2026 [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",3,"Moderate coverage, some terms not directly in context",5,Directly addresses all key query terms,5,Retrieved: 1/1 expected sources,4,"Covers most key points, minor details missing",baseline_dense,hard,10
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn phải sử dụng VPN và được kết nối trên tối đa 2 thiết bị cùng lúc [1].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",4,"Good coverage, minor details may be inferred",5,Directly addresses all key query terms,5,Retrieved: 2/2 expected sources,2,"Covers few key points, many important details missing",baseline_dense,hard,10
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm sẽ không được hoàn tiền. Theo quy định, sản phẩm thuộc danh mục hàng kỹ thuật số và sản phẩm đã được kích hoạt hoặc đăng ký tài khoản đều nằm trong danh sách ngoại lệ không được hoàn tiền [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,High coverage of answer terms in context,5,Directly addresses all key query terms,5,Retrieved: 1/1 expected sources,4,"Covers most key points, minor details missing",baseline_dense,hard,10
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu bạn chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận được giá trị 110% so với số tiền gốc. [1]","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,High coverage of answer terms in context,4,Addresses most key query terms,5,Retrieved: 1/1 expected sources,3,"Covers some key points, important details missing",baseline_dense,medium,8
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Tôi xin lỗi, hiện tại tài liệu không có thông tin về vấn đề này.","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",1,"Very low coverage, answer likely not grounded",1,Does not address query terms,5,Retrieved: 1/1 expected sources,1,Missing most core content,baseline_dense,hard,10
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Khi xảy ra sự cố P1 lúc 2 giờ sáng, on-call engineer có thể cấp quyền tạm thời cho một engineer xử lý incident theo quy trình sau:

1. On-call IT Admin cần được Tech Lead phê duyệt bằng lời trước khi cấp quyền tạm thời.
2. Quyền tạm thời này có thể tồn tại tối đa 24 giờ.
3. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
4. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.

Vậy quyền tạm thời này sẽ tồn tại trong 24 giờ nếu không có ticket chính thức được tạo ra [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,High coverage of answer terms in context,5,Directly addresses all key query terms,5,Retrieved: 2/2 expected sources,4,"Covers most key points, minor details missing",baseline_dense,hard,12
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,"Tôi xin lỗi, hiện tại tài liệu không có thông tin về vấn đề này.","Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,"Very low coverage, answer likely not grounded",1,Does not address query terms,,No expected sources,2,"Covers few key points, many important details missing",baseline_dense,medium,10
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Trong khi đó, khi nghỉ ốm trên 3 ngày liên tiếp, nhân viên cần có giấy tờ y tế từ bệnh viện [1]. Do đó, con số này không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,4,"Good coverage, minor details may be inferred",5,Directly addresses all key query terms,5,Retrieved: 1/1 expected sources,4,"Covers most key points, minor details missing",baseline_dense,hard,10
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Mật khẩu tài khoản công ty cần thay đổi định kỳ. Cụ thể, mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở trước 7 ngày khi mật khẩu sắp hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,High coverage of answer terms in context,4,Addresses most key query terms,5,Retrieved: 1/1 expected sources,3,"Covers some key points, important details missing",baseline_dense,medium,8
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày có hiệu lực sẽ áp dụng theo chính sách hoàn tiền phiên bản 3. [1],Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,High coverage of answer terms in context,5,Directly addresses all key query terms,5,Retrieved: 1/1 expected sources,5,Covers all key points from expected answer,baseline_dense,hard,10
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,SLA xử lý ticket P1 đã thay đổi từ 6 giờ xuống 4 giờ so với phiên bản trước. Thay đổi này được cập nhật trong phiên bản v2026.1 có hiệu lực từ ngày 15 tháng 1 năm 2026 [1].,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",3,"Moderate coverage, some terms not directly in context",5,Directly addresses all key query terms,5,Retrieved: 1/1 expected sources,3,"Covers some key points, important details missing",variant_hybrid,hard,10
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, bạn phải sử dụng VPN và được kết nối trên tối đa 2 thiết bị cùng lúc [1].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",4,"Good coverage, minor details may be inferred",5,Directly addresses all key query terms,5,Retrieved: 2/2 expected sources,2,"Covers few key points, many important details missing",variant_hybrid,hard,10
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm sẽ không được hoàn tiền. Theo quy định, sản phẩm thuộc danh mục hàng kỹ thuật số và sản phẩm đã được kích hoạt hoặc đăng ký tài khoản đều nằm trong danh sách ngoại lệ không được hoàn tiền [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,High coverage of answer terms in context,5,Directly addresses all key query terms,5,Retrieved: 1/1 expected sources,4,"Covers most key points, minor details missing",variant_hybrid,hard,10
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu bạn chọn nhận store credit thay vì hoàn tiền, bạn sẽ nhận được giá trị 110% so với số tiền gốc. [1]","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,High coverage of answer terms in context,4,Addresses most key query terms,5,Retrieved: 1/1 expected sources,3,"Covers some key points, important details missing",variant_hybrid,medium,8
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Tôi xin lỗi, hiện tại tài liệu không có thông tin về vấn đề này.","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",1,"Very low coverage, answer likely not grounded",1,Does not address query terms,5,Retrieved: 1/1 expected sources,1,Missing most core content,variant_hybrid,hard,10
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Khi xảy ra sự cố P1 lúc 2 giờ sáng, on-call engineer cần thực hiện quy trình sau để cấp quyền tạm thời cho một engineer xử lý incident:

1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.

Quyền tạm thời này sẽ tồn tại tối đa 24 giờ [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,High coverage of answer terms in context,5,Directly addresses all key query terms,5,Retrieved: 2/2 expected sources,5,Covers all key points from expected answer,variant_hybrid,hard,12
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,"Tôi xin lỗi, hiện tại tài liệu không có thông tin về vấn đề này.","Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,"Very low coverage, answer likely not grounded",1,Does not address query terms,,No expected sources,2,"Covers few key points, many important details missing",variant_hybrid,medium,10
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2]. Trong khi đó, khi nghỉ ốm trên 3 ngày liên tiếp, nhân viên cần có giấy tờ y tế từ bệnh viện [1]. Do đó, con số này không giống nhau.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,4,"Good coverage, minor details may be inferred",5,Directly addresses all key query terms,5,Retrieved: 1/1 expected sources,4,"Covers most key points, minor details missing",variant_hybrid,hard,10
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Mật khẩu tài khoản công ty cần đổi định kỳ. Cụ thể, mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở trước 7 ngày khi mật khẩu sắp hết hạn [1].","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,High coverage of answer terms in context,4,Addresses most key query terms,5,Retrieved: 1/1 expected sources,3,"Covers some key points, important details missing",variant_hybrid,medium,8
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Chính sách hoàn tiền hiện tại không áp dụng cho đơn hàng đặt trước ngày 01/02/2026. Các đơn hàng đặt trước ngày có hiệu lực sẽ áp dụng theo chính sách hoàn tiền phiên bản 3. [1],Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,High coverage of answer terms in context,5,Directly addresses all key query terms,5,Retrieved: 1/1 expected sources,5,Covers all key points from expected answer,variant_hybrid,hard,10
